movieId,title,genres,year,overview,popularity
209311,Waves (2020),Drama|Romance,2020.0,A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,3.3109
210455,Gretel & Hansel (2020),Fantasy|Horror|Thriller,2020.0,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",2.3302
210469,Like a Boss (2020),Comedy,2020.0,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",1.4068
210569,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),Action|Adventure|Crime,2020.0,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",6.7743
210571,Fantasy Island (2020),Fantasy|Horror|Sci-Fi,2020.0,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",3.5788
210573,The King's Man (2020),Action|Adventure|Comedy,2020.0,"A hard hitting new documentary which reveals Prince Charles as unfit to be King. The documentary looks at Charles's role as Duke of Cornwall and the way he treats Duchy tenants, as well as how he uses his power and influence to lobby government and other public bodies.",0.0823
210575,The Photograph (2020),Drama|Romance,2020.0,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",1.0742
210577,Sonic the Hedgehog (2020),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,2020.0,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",12.1409
210579,What About Love (2020),Drama|Romance,2020.0,,5.0
210847,Bloodshot (2020),Action|Drama|Fantasy|Sci-Fi,2020.0,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",5.1912
210849,The Call of the Wild (2020),Adventure|Children|Drama,2020.0,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",4.6428
210851,Emma (2020),Comedy|Drama,2020.0,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",4.4685
210853,My Boyfriend's Meds (2020),(no genres listed),2020.0,A Woman's island getaway with her boyfriend is thrown for a loop when he forgets to take his prescription medications along.,0.7935
210855,The Rhythm Section (2020),Action|Mystery|Thriller,2020.0,"When she discovers the plane crash that claimed the lives of her family was no accident, Stephanie Patrick enters the dark, complex world of international espionage seeking vengeance. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.",1.497
210857,The Turning (2020),Horror|Thriller,2020.0,"A young woman quits her teaching job to become a private tutor and governess for two wealthy young kids, but soon starts to suspect there’s more to their house than meets the eye.",1.6242
210859,Run (2020),Thriller,2020.0,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",6.3094
210861,The Gentlemen (2020),Action|Crime,2020.0,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",8.0791
210863,Dolittle (2020),Children|Comedy|Fantasy,2020.0,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",5.9605
210865,Bad Boys for Life (2020),Action|Crime|Thriller,2020.0,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",6.5467
210867,Underwater (2020),Action|Horror,2020.0,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",6.313
210869,My Spy (2020),Action|Children|Comedy,2020.0,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",2.7858
210873,Invasion (2020),Action|Sci-Fi,2020.0,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?",4.7106
211141,Echo (2020),Drama,2020.0,Five post grads figure the best way to get back at the unfair economy and live the life they've always wanted is to steal from the rich and give to themselves.,0.9519
211223,The Grudge (2020),Horror|Mystery,2020.0,"After a young mother murders her family in her own house, a detective attempts to investigate the mysterious case, only to discover that the house is cursed by a vengeful ghost. Now targeted by the demonic spirits, the detective must do anything to protect herself and her family from harm.",2.5675
211391,Downhill (2020),Drama,2020.0,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",1.2526
211428,Ana (2020),Comedy|Drama,2020.0,"Ana meets Rafa in a chance encounter and they embark on a road trip to try and save him from bankruptcy, or worse.",0.9985
211504,Rogue Warfare: Death of a Nation (2020),Action|War,2020.0,"After rescuing Daniel from the terrorist Black Mask Organization, the team uncovers plans for a deadly bomb set to detonate in 36 hours that threatens world order. With no time to recover, Daniel must throw his life back on the line as he and his elite team of soldiers race against time to find the bomb and defeat their enemy once and for all. Outnumbered and overmatched, each soldier must find their inner strength and skill to overcome insurmountable odds.",0.5888
211540,Tolo Tolo (2020),Comedy,2020.0,"Checco is a young Apulian entrepreneur dreamer who has opened a sushi restaurant in his Apulia. However, after one month, the restaurant went bankrupt and he chose to emigrate to Africa to escape from debt. Here he adapts to being a waiter in a resort in Kenya, but at the outbreak of a civil war he decides to embark on a stowaway trip on a boat for migrants to Europe and chooses to do it with his African friends. However, he would not like to return to Italy, but rather to go to Liechtenstein where banking secrecy is in force and there is a lower tax burden than in Italy.",0.5876
211544,De kuthoer (2020),Comedy|Horror,2020.0,,5.0
211594,Tommaso (2020),Drama,2020.0,"Tommaso is an American expat film director living in Rome with his young wife and their daughter. Disoriented by his past misgivings and subsequent unexpected blows to his self-esteem, Tommaso wades through this late chapter of his life with an increasingly impaired grasp on reality as he prepares for his next film.",0.614
211708,Ladies of Steel (2020),Comedy|Drama,2020.0,"Inkeri, 75, has hit her husband on the head with a solid iron frying pan and is planning to bury him in their garden. Before facing the rest of her life in prison, there may yet be a moment left to really live. Inkeri makes her sisters Sylvi and Raili join her on a trip to the Koli National Park. Will Inkeri find in her that free young woman who desired a feminist revolution in the 70s?",0.4756
211710,Hammamet (2020),Drama,2020.0,"The last years of Bettino Craxi, one of the most important and controversial italian leader of the 1980's.",0.4271
211726,Escape from Pretoria (2020),Thriller,2020.0,"South Africa, 1978. Tim Jenkin and Stephen Lee, two white political activists from the African National Congress imprisoned by the apartheid regime, put a plan in motion to escape from the infamous Pretoria Prison.",2.5377
211842,Jezebel (2020),Children|Drama,2020.0,"A true story. In the last days of her mother’s life, 19-year-old Tiffany crashes with five family members in a Las Vegas studio apartment. In order to make ends meet, her sister, a phone sex operator, introduces her to the world of fetish cam girls.",0.2387
211874,Goldman v Silverman (2020),Comedy|Drama,2020.0,Rod Goldman and Al Silverman are street performers who work the tourist scene of Times Square. Goldman gets no respect and Silverman is the first one to make sure of that.,0.3531
211888,Jak zostałem gangsterem. Historia prawdziwa (2020),Crime|Drama,2020.0,"The action of the film begins in the 1970s – even then, the young protagonist knows that adrenaline tastes better than powdered milk. Over time, he also discovers a desire for money, power, and being above the law. A transformation begins, and his gangster talent blossoms. Together with a friend, they build their own army.",1.3843
211914,Russell Peters: Deported (2020),(no genres listed),2020.0,"Comedian Russell Peters explores life as a middle-aged man dealing with health issues, relationships and fatherhood in this hilarious one-hour special.",0.1664
211940,Leslie Jones: Time Machine (2020),Comedy,2020.0,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special.",0.315
211946,(UN)Ideal Man (2020),Comedy|Romance|Sci-Fi,2020.0,,5.0
211968,How to Be a Good Wife (2020),Drama,2020.0,"Paulette Van Der Beck and her husband have been running the housekeeping school of Bitche in Alsace for many years. Their mission is to train teenage girls to become the perfect housewives at a time when women were expected to be subservient to their husband.  After the sudden death of her husband, Paulette discovers that the school is on the verge of bankruptcy and has to take her responsibilities. But while preparations are underway for the best housekeeping competition TV show, she and her lively students start questioning their beliefs as the nation-wide protests of May 1968 transform society around them.  Reunited with her first love, André, and with the help of her eccentric stepsister Gilberte and strict nun Marie-Therese, Paulette joins forces with the schoolgirls to overcome their suppressed status and become liberated women.",1.066
212012,Miss Americana (2020),Documentary,2020.0,"A raw and emotionally revealing look at one of the most iconic artists of our time during a transformational period in her life as she learns to embrace her role not only as a songwriter and performer, but as a woman harnessing the full power of her voice.",1.3231
212036,Chhapaak (2020),Drama,2020.0,"A true story based on acid attack survivor Malti's grueling and glorious journey from her medical treatment, court proceedings leading to her emotional healing.",3.0599
212046,The Last Full Measure (2020),Drama,2020.0,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman.",1.607
212048,Airplane Mode (2020),Comedy|Romance,2020.0,"When Ana, an influencer, crashes her car while talking on the phone, she's shipped to her grumpy grandfather's farm -- and forced into a digital detox.",0.9754
212052,Stargirl (2020),Comedy|Drama|Romance,2020.0,"An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves…and their world.",1.2637
212066,The Heist of the Century (2020),Crime|Drama|Thriller,2020.0,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",1.7995
212074,Guns Akimbo (2020),Action|Comedy,2020.0,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",2.8356
212088,Horse Girl (2020),Drama|Thriller,2020.0,"A socially awkward woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",1.5412
